,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
123,12.8,33.6,33.4,33.1,32.3,3.258849609793495,4,450
124,12.7,33.4,33.3,32.9,32.2,2.9176422532951123,3,450
125,12.7,33.6,33.4,33.1,32.4,2.842335641941505,4,450
126,12.7,33.7,33.5,33.1,32.4,2.807117352476626,4,450
127,12.7,33.7,33.6,33.1,32.5,2.679174242776053,4,450
128,12.6,33.8,33.7,33.3,32.5,3.0817115826129835,3,450
129,12.5,33.7,33.7,33.1,32.4,3.2074592672719677,4,450
130,12.5,33.8,33.7,33.2,32.5,2.650050262619981,3,450
131,12.5,33.7,33.8,33.3,32.5,2.692488227095227,3,450
132,12.5,33.8,33.8,33.4,32.8,2.8848511657202756,4,450
133,12.4,33.8,33.9,33.5,32.9,2.9606061742454894,3,450
134,12.4,33.9,33.9,33.6,33.0,2.7839953674317086,4,450
135,12.4,33.9,33.9,33.6,33.1,2.8541202079321706,4,450
136,12.4,34.0,34.0,33.7,33.3,2.954855714395466,3,450
137,12.4,34.1,34.1,33.7,33.4,2.849411454064163,3,450
138,12.3,34.0,33.9,33.6,33.3,2.4083598988809958,3,500
139,12.3,34.0,34.0,33.7,33.4,2.533058524628506,4,500
140,12.3,34.1,34.1,33.8,33.5,2.3300970873786406,3,500
141,12.2,34.0,34.0,33.6,33.3,2.357524944578518,4,500
142,12.2,34.1,34.1,33.7,33.3,2.2625014517717648,3,500
143,12.2,34.2,34.1,33.7,33.4,1.9170033403783204,4,500
144,12.2,34.3,34.2,33.8,33.5,1.8697879660446506,4,500
145,12.2,34.4,34.3,33.9,33.6,2.242988977204503,3,500
146,12.1,34.3,34.1,33.7,33.5,2.2608134708309846,2,500
147,12.2,34.3,34.1,33.8,33.7,2.1675799403482,3,500
148,12.2,34.5,34.2,33.9,33.8,2.191471814385259,3,500
149,12.1,34.3,34.1,33.8,33.7,2.3899640629070404,4,500
150,12.1,34.4,34.1,33.8,33.7,2.4164200575752353,3,500
151,12.1,34.4,34.2,33.9,33.7,2.479355235406515,4,500
152,12.1,34.5,34.3,34.0,33.8,2.509108062266026,3,500
153,12.1,34.5,34.3,34.0,33.8,2.8095780388396068,4,500
154,12.0,34.5,34.2,33.9,33.8,2.3377740650462258,3,500
155,12.1,34.6,34.3,33.9,33.9,2.3932033026205577,4,500
156,12.1,34.6,34.3,34.1,33.9,2.4736698458821227,4,500
157,12.1,34.7,34.4,34.1,34.0,2.192929556523856,4,500
158,12.0,34.5,34.2,33.9,33.8,2.471811054762974,4,500
159,12.0,34.6,34.3,34.0,33.8,2.558299379015464,4,500
160,12.0,34.6,34.4,34.1,33.8,2.493948019472746,3,500
161,12.0,34.7,34.5,34.1,33.8,2.3729690351270607,2,500
162,12.0,34.6,34.4,33.9,33.7,2.2087716211132062,2,550
163,12.0,34.6,34.4,33.9,33.7,1.976659603403017,3,550
164,11.9,34.7,34.4,34.0,33.7,1.9386137942064525,3,550
165,11.9,34.7,34.5,33.9,33.8,1.6989812908180255,2,550
166,11.9,34.9,34.6,34.0,33.8,1.9119124573524027,4,550
167,11.9,34.8,34.6,34.0,33.8,1.8739207387745123,4,550
168,11.9,34.8,34.6,33.9,33.8,1.7798835778151751,3,550
169,11.9,34.9,34.7,34.1,34.0,1.7618599603229137,3,550
170,11.9,34.9,34.6,34.0,33.9,1.9652176134593826,4,550
171,11.8,35.0,34.6,33.9,33.8,2.3107086712423834,4,550
172,11.8,34.9,34.5,33.9,33.8,1.797518525675305,3,550
173,11.8,35.0,34.6,34.0,33.9,2.0095682241713546,3,550
174,11.7,34.9,34.6,33.9,33.8,2.1202342434792194,2,550
175,11.8,34.9,34.6,33.9,33.8,1.8444450387656235,4,550
176,11.7,35.0,34.7,34.0,33.9,1.9282572603706494,3,550
177,11.7,34.9,34.6,34.0,33.9,1.94560099614771,3,550
178,11.7,35.1,34.7,34.1,34.0,2.1077080992899133,2,550
179,11.7,35.0,34.7,34.1,33.9,1.8857410632373837,3,550
180,11.7,35.0,34.6,34.0,33.9,2.36187926860472,4,550
181,11.6,35.0,34.6,34.0,33.8,1.8306234004928037,4,550
182,11.7,35.1,34.7,34.0,33.9,1.9736517491488628,4,550
183,11.7,35.2,34.7,34.0,33.9,1.9543311887805754,4,550
184,11.6,35.1,34.7,33.9,33.7,2.00588258499426,4,550
185,11.6,35.1,34.7,33.9,33.7,1.9600368094912823,4,550
186,11.6,35.1,34.7,34.0,33.8,1.6517622651607,4,550
187,11.6,35.1,34.7,34.0,33.8,1.932989067980326,3,550
188,11.6,35.3,34.8,34.1,33.9,1.977685119567546,3,550
189,11.6,35.2,34.8,34.1,34.0,1.9898695739987724,3,550
190,11.5,35.1,34.7,33.9,33.9,1.8227934857006407,3,550
191,11.5,35.2,34.7,34.0,34.0,2.1509092251779696,4,550
