,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
36,13.7,31.3,30.3,29.6,28.3,6.601182931981411,3,300
37,13.7,31.4,30.4,29.6,28.4,5.9521388514951274,3,300
38,13.7,31.4,30.6,29.6,28.5,5.85902025463302,4,300
39,13.7,31.5,30.5,29.9,28.6,5.442754469181764,4,300
40,13.7,31.7,30.7,29.9,28.6,5.53249325496864,4,300
41,13.7,31.8,30.8,30.0,28.8,5.476621216795702,4,300
42,13.6,31.8,30.9,30.0,29.0,5.985270249914959,4,300
43,13.6,31.9,30.8,29.9,29.1,4.9150821261072455,3,300
44,13.6,31.9,31.0,29.9,29.2,5.724666442768601,3,300
45,13.6,32.0,31.1,30.0,29.1,5.9536744590342545,4,300
46,13.5,32.0,31.2,30.0,29.2,5.4785414661672664,3,300
47,13.3,31.7,30.8,29.5,28.7,6.280849063121637,4,300
48,13.3,31.8,31.1,29.6,28.8,6.389770525083956,3,300
49,13.4,31.9,31.2,29.9,29.1,6.4903456109037805,3,300
50,13.3,31.8,31.2,30.0,29.3,5.979508225311855,4,300
51,13.3,31.8,31.2,30.1,29.4,5.957966546017844,3,300
52,13.3,31.9,31.2,30.2,29.4,5.413242414919618,4,300
53,13.3,31.9,31.4,30.4,29.4,5.538841588207437,3,300
54,13.3,31.9,31.4,30.4,29.6,5.8025508013322655,3,300
55,13.3,32.0,31.4,30.5,29.6,5.680451861010703,2,300
56,13.3,32.0,31.4,30.6,29.7,5.57184287774541,3,350
57,13.3,32.2,31.4,30.6,29.9,4.617883956270487,3,350
58,13.4,32.4,31.5,30.9,30.0,4.552548243353734,3,350
59,13.4,32.5,31.7,31.0,30.2,4.47206791103447,3,350
60,13.2,32.1,31.3,30.8,29.8,4.349808086467226,4,350
61,13.3,32.1,31.5,30.9,29.8,4.909238007713395,3,350
62,13.3,32.2,31.6,31.0,30.1,4.422500977372716,3,350
63,13.3,32.3,31.6,30.9,30.1,3.620987606264671,3,350
64,13.3,32.4,31.8,31.1,30.3,4.2359312016997945,3,350
65,13.4,32.6,32.0,31.2,30.5,4.08282583808166,3,350
66,13.4,32.6,32.3,31.5,30.5,4.12609341475491,3,350
67,13.4,32.6,32.3,31.5,30.6,3.9037110629219667,3,350
68,13.2,32.3,32.1,31.2,30.3,4.1044601526695,3,350
69,13.3,32.6,32.2,31.3,30.4,4.274666105830473,4,350
70,13.3,32.7,32.2,31.5,30.6,4.438664317133688,4,350
71,13.3,32.7,32.2,31.6,30.6,3.5393782374250318,4,350
72,13.4,32.8,32.4,31.6,30.8,4.3820940625254705,3,350
73,13.4,32.9,32.5,31.8,31.0,4.164962502842587,3,350
74,13.4,32.8,32.5,31.7,31.2,3.940645990097157,4,350
75,13.3,32.4,32.1,31.4,30.8,3.7354794908167905,3,350
76,13.3,32.5,32.2,31.5,31.0,4.245037127094713,2,350
